"id","round","game_date","venue_id","home_team_id","away_team_id","season_year","afltables_game_id","home_score_str","away_score_str","home_score_goals","home_score_behinds","home_score_total","away_score_goals","away_score_behinds","away_score_total","margin","home_result","away_result"
13430,"R12","2010-06-11",14,20525,19974,2010,13666,"14.13.97","10.8.68",14,13,97,10,8,68,29,"W","L"
13431,"R12","2010-06-12",68,20433,20617,2010,13667,"19.10.124","11.11.77",19,10,124,11,11,77,47,"W","L"
13432,"R12","2010-06-12",14,20434,20710,2010,13668,"12.11.83","23.16.154",12,11,83,23,16,154,71,"L","W"
13433,"R12","2010-06-12",1323,20893,19882,2010,13669,"8.7.55","14.9.93",8,7,55,14,9,93,38,"L","W"
13434,"R12","2010-06-13",4,20065,20894,2010,13670,"19.12.126","11.11.77",19,12,126,11,11,77,49,"W","L"
13435,"R12","2010-06-13",14,20802,5,2010,13671,"17.19.121","8.8.56",17,19,121,8,8,56,65,"W","L"
13436,"R12","2010-06-13",1325,20986,20709,2010,13672,"10.7.67","12.13.85",10,7,67,12,13,85,18,"L","W"
13437,"R12","2010-06-14",4,19881,20158,2010,13673,"11.10.76","9.22.76",11,10,76,9,22,76,0,"D","D"
13438,"R13","2010-06-18",4,20433,20434,2010,13674,"14.18.102","13.8.86",14,18,102,13,8,86,16,"W","L"
13439,"R13","2010-06-19",14,19974,20986,2010,13675,"12.15.87","14.12.96",12,15,87,14,12,96,9,"L","W"
13440,"R13","2010-06-19",2,5,20065,2010,13676,"12.14.86","15.15.105",12,14,86,15,15,105,19,"L","W"
13465,"R16","2010-07-17",14,20434,20894,2010,13701,"14.16.100","20.12.132",14,16,100,20,12,132,32,"L","W"
13466,"R16","2010-07-17",70,20802,20893,2010,13702,"12.11.83","7.5.47",12,11,83,7,5,47,36,"W","L"
13467,"R16","2010-07-18",14,19974,19882,2010,13703,"10.8.68","16.11.107",10,8,68,16,11,107,39,"L","W"
13476,"R17","2010-07-25",4,19881,19882,2010,13712,"22.10.142","10.9.69",22,10,142,10,9,69,73,"W","L"
13477,"R17","2010-07-25",1323,20893,20617,2010,13713,"13.10.88","9.15.69",13,10,88,9,15,69,19,"W","L"
13468,"R16","2010-07-18",4,20065,20525,2010,13704,"7.11.53","15.13.103",7,11,53,15,13,103,50,"L","W"
13469,"R16","2010-07-18",1325,20986,19881,2010,13705,"11.16.82","10.11.71",11,16,82,10,11,71,11,"W","L"
13478,"R18","2010-07-30",14,20434,20709,2010,13714,"16.12.108","11.9.75",16,12,108,11,9,75,33,"W","L"
13470,"R17","2010-07-23",14,20709,20433,2010,13706,"14.3.87","13.9.87",14,3,87,13,9,87,0,"D","D"
13471,"R17","2010-07-24",4,20158,20065,2010,13707,"19.13.127","6.9.45",19,13,127,6,9,45,82,"W","L"
13479,"R18","2010-07-31",4,20158,19974,2010,13715,"15.15.105","9.3.57",15,15,105,9,3,57,48,"W","L"
13472,"R17","2010-07-24",7,20710,5,2010,13708,"19.13.127","9.10.64",19,13,127,9,10,64,63,"W","L"
13480,"R18","2010-07-31",1323,20893,20433,2010,13716,"13.14.92","12.12.84",13,14,92,12,12,84,8,"W","L"
13481,"R18","2010-07-31",1321,19882,20710,2010,13717,"9.18.72","20.5.125",9,18,72,20,5,125,53,"L","W"
13473,"R17","2010-07-24",14,20525,20434,2010,13709,"18.11.119","18.14.122",18,11,119,18,14,122,3,"L","W"
13482,"R18","2010-07-31",2,5,19881,2010,13718,"9.10.64","11.8.74",9,10,64,11,8,74,10,"L","W"
13483,"R18","2010-08-01",4,20065,20617,2010,13719,"15.10.100","11.14.80",15,10,100,11,14,80,20,"W","L"
13484,"R18","2010-08-01",14,20802,20525,2010,13720,"22.11.143","10.12.72",22,11,143,10,12,72,71,"W","L"
13485,"R18","2010-08-01",1325,20986,20894,2010,13721,"24.16.160","13.7.85",24,16,160,13,7,85,75,"W","L"
13486,"R19","2010-08-06",4,20434,19974,2010,13722,"9.19.73","23.11.149",9,19,73,23,11,149,76,"L","W"
13487,"R19","2010-08-07",14,20525,20986,2010,13723,"19.9.123","10.9.69",19,9,123,10,9,69,54,"W","L"
13488,"R19","2010-08-07",1,19882,20433,2010,13724,"19.15.129","13.7.85",19,15,129,13,7,85,44,"W","L"
13489,"R19","2010-08-07",4,20710,20158,2010,13725,"12.13.85","14.23.107",12,13,85,14,23,107,22,"L","W"
13490,"R19","2010-08-07",1325,20894,5,2010,13726,"9.11.65","10.10.70",9,11,65,10,10,70,5,"L","W"
13509,"R21","2010-08-22",1325,20894,20525,2010,13745,"14.10.94","16.14.110",14,10,94,16,14,110,16,"L","W"
13510,"R22","2010-08-27",1325,20986,19974,2010,13746,"13.15.93","13.9.87",13,15,93,13,9,87,6,"W","L"
13511,"R22","2010-08-28",7,20710,20894,2010,13747,"16.16.112","10.8.68",16,16,112,10,8,68,44,"W","L"
13512,"R22","2010-08-28",4,20433,20158,2010,13748,"15.8.98","13.17.95",15,8,98,13,17,95,3,"W","L"
13513,"R22","2010-08-28",1323,20617,20709,2010,13749,"9.11.65","5.7.37",9,11,65,5,7,37,28,"W","L"
13514,"R22","2010-08-28",14,20802,20434,2010,13750,"17.5.107","11.12.78",17,5,107,11,12,78,29,"W","L"
13515,"R22","2010-08-28",2,5,19882,2010,13751,"10.8.68","16.10.106",10,8,68,16,10,106,38,"L","W"
13516,"R22","2010-08-29",14,20065,20893,2010,13752,"16.16.112","18.14.122",16,16,112,18,14,122,10,"L","W"
13517,"R22","2010-08-29",4,19881,20525,2010,13753,"15.13.103","17.11.113",15,13,103,17,11,113,10,"L","W"
